;user;class;text;ts;key
0;Balaemar;8;I have to pick up my car from the garage tomorrow.;1503303350.000377;1503303350U035FRUCY
0;Balaemar;1;I have to leave at 15:45 on Thursday.;1503303350.000377;1503303350U035FRUCY
1;Ragaenys;2;I won’t be here tomorrow one day vacation;1503301710.000155;1503301710U4A2FRAQ4
2;Myke;1;Missed connection in Zurich.;1503296123.000159;1503296123U0MGNKETU
2;Myke;1;Will be about 5-10 mins late in the office;1503296123.000159;1503296123U0MGNKETU
2;Myke;1;so will miss the weekly today.;1503296123.000159;1503296123U0MGNKETU
3;Drevyn;8;Enjoy!;1503259722.000076;1503259722U035B8PRU
4;Gaelralis;2;I am away for 2 weeks in iceland :flag-is:;1503258060.000057;1503258060U0HLAK1T6
5;Gonaleos;8;Monday is the first day in school for my son;1503222795.000008;1503222795U3W886EF4
5;Gonaleos;8;I am going to go there with him;1503222795.000008;1503222795U3W886EF4
5;Gonaleos;1;so I will arrive a few hours later probably;1503222795.000008;1503222795U3W886EF4
6;Vaerys;1;Going to leave around 4:50 because I need to go to the bank;1503063218.0004961;1503063218U0PLNK7EK
6;Vaerys;3;will finishing remaining work from home);1503063218.0004961;1503063218U0PLNK7EK
7;Taengaeron;1;I am away between 3-4 for private stuff;1503059074.000107;1503059074U4C55CKGX
7;Taengaeron;3;be back online at 4.;1503059074.000107;1503059074U4C55CKGX
8;Baegar;3;I will move to HO.;1503057526.0001981;1503057526U035J4RG4
8;Baegar;6;I will be in 2 different Telcos;1503057526.0001981;1503057526U035J4RG4
8;Baegar;8;i will therefore not be available by phone -- by slack e-mail all the time.;1503057526.0001981;1503057526U035J4RG4
9;Eliar;1;Need to leave around 16:45.;1503056595.000326;1503056595U0A8NPHRD
9;Eliar;3;Will be available afterwards.;1503056595.000326;1503056595U0A8NPHRD
10;Gaelralis;1;I am away to take care of 2-3 private things;1503056439.000337;1503056439U0HLAK1T6
10;Gaelralis;1;will be back later :wink:;1503056439.000337;1503056439U0HLAK1T6
11;Overton;1;I will do a longer lunch because I need to head to the bank;1503040427.000006;1503040427U0PSDKXHR
11;Overton;8;take care of some stuff.;1503040427.000006;1503040427U0PSDKXHR
12;Baegar;3;I'm at HO;1502970462.00032;1502970462U035J4RG4
12;Baegar;1;I will be in the office at about 16:00.;1502970462.00032;1502970462U035J4RG4
13;Tareneos;6;FYI i'm at a conference today tomorrow Friday) will be limited availability over slack/email;1502964612.000145;1502964612U4C4ZJYNS
14;Myke;1;Missed train;1502952618.00025;1502952618U0MGNKETU
14;Myke;1;will be in the office around 9.40.;1502952618.00025;1502952618U0MGNKETU
15;Maehagar;1;Missed my train;1502866512.00027;1502866512U278DLL2D
15;Maehagar;1;will be in the office at 9.20;1502866512.00027;1502866512U278DLL2D
16;Galeris;1;I will miss the daily tomorrow;1502865672.000084;1502865672U036SKV77
16;Galeris;4;Thursday) as I have a doctors appointment at 8:45 - should be back by 9:15;1502865672.000084;1502865672U036SKV77
17;Celtheon;1;I have to go out today from 13:45 for an hour to have a meeting in the MigrationCaenraenost.;1502864752.000103;1502864752U1RLS54MB
18;Kenning;6;As announced yesterday I am at BN today until at least 13:00;1502864059.00003;1502864059U4CM3PGSH
19;Vaerys;8;As announced yesterday;1502863719.0000892;1502863719U0PLNK7EK
19;Vaerys;3;I am working from home;1502863719.0000892;1502863719U0PLNK7EK
19;Vaerys;8;not king :wink:);1502863719.0000892;1502863719U0PLNK7EK
20;Joragni;2;As scheduled;1502859946.000073;1502859946U0K4J0613
20;Joragni;2;I'm taking the day off today.;1502859946.000073;1502859946U0K4J0613
20;Joragni;8;See you all again on Thursday.;1502859946.000073;1502859946U0K4J0613
21;Ragaenys;8;This friday I will be receiving the key for the new appartment at 14.;1502815159.0003786;1502815159U4A2FRAQ4
21;Ragaenys;7;Will be back to the office after it.;1502815159.0003786;1502815159U4A2FRAQ4
21;Ragaenys;6;<@U035FRZHY> we have the deep impact meeting till 13.30;1502815159.0003786;1502815159U4A2FRAQ4
21;Ragaenys;1;will leave after it.;1502815159.0003786;1502815159U4A2FRAQ4
22;Torerne;6;I am at BANK-now tomorrow morning too;1502810858.00023;1502810858U035FRZHY
23;Myke;3;Tomorrow i will do HO because the worker will come by to remove the drier in my bathroom.;1502810826.000015;1502810826U0MGNKETU
23;Myke;8;So i need to be there.;1502810826.000015;1502810826U0MGNKETU
24;Kenning;6;I will be at BANK-now tomorrow morning.;1502810777.000495;1502810777U4CM3PGSH
25;Vaerys;3;Would work from home tomorrow;1502809044.000304;1502809044U0PLNK7EK
25;Vaerys;8;will concentrate on GTM;1502809044.000304;1502809044U0PLNK7EK
25;Vaerys;8;that was an interesting typo);1502809044.000304;1502809044U0PLNK7EK
26;Myke;1;My alarm didn't go off today;1502779919.0000858;1502779919U0MGNKETU
26;Myke;1;Ill be later this morning around 11.;1502779919.0000858;1502779919U0MGNKETU
26;Myke;1;Be available on the train.;1502779919.0000858;1502779919U0MGNKETU
27;Tareneos;1;i go for a late lunch then back online in an hour c.a 15:30 but not in the office);1502713906.1239526;1502713906U4C4ZJYNS
28;Darnor;6;Im at SPS tomorrow morning.;1502709596.914999;1502709596U1D7Q9J8M
29;Eliar;4;I'm in HO tomorrow due to a doctor's appointment at 11am.;1502709497.8903902;1502709497U0A8NPHRD
30;Overton;4;I will have to leave at 16:45 today because of a doctors appointment at 17:00.;1502702727.016556;1502702727U0PSDKXHR
30;Overton;3;I will finish up some work later in the evening.;1502702727.016556;1502702727U0PSDKXHR
31;Gaelralis;8;get well soon!;1502702422.921431;1502702422U0HLAK1T6
31;Gaelralis;8;:slightly_smiling_face:;1502702422.921431;1502702422U0HLAK1T6
32;Taengaeron;5;I am ill today;1502699900.1287858;1502699900U4C55CKGX
32;Taengaeron;7;will try to be in the office tomorrow again.;1502699900.1287858;1502699900U4C55CKGX
33;Tareneos;1;Arriving late this morning;1502692393.2609134;1502692393U4C4ZJYNS
33;Tareneos;1;one of the grandparents has an eye infection so need to watch the kids this morning;1502692393.2609134;1502692393U4C4ZJYNS
33;Tareneos;1;will try to make the planned 11.30 meeting;1502692393.2609134;1502692393U4C4ZJYNS
34;Myke;1;I'll be coming a bit late in the office today around noon.;1502676107.093277;1502676107U0MGNKETU
34;Myke;8;Been working on testing the GTM until 3am.;1502676107.093277;1502676107U0MGNKETU
35;Eliar;3;I'm in HO this afternoon due to Physiotherapy).;1502450868.1559038;1502450868U0A8NPHRD
36;Gonaleos;1;I missed my bus;1502433302.333123;1502433302U3W886EF4
36;Gonaleos;1;I will be in the office 15 mins later;1502433302.333123;1502433302U3W886EF4
37;Vaerys;8;I forgot to mention this yesterday;1502428115.5783286;1502428115U0PLNK7EK
37;Vaerys;3;as discussed with Fabian I am in HO today;1502428115.5783286;1502428115U0PLNK7EK
37;Vaerys;5;still have fever;1502428115.5783286;1502428115U0PLNK7EK
38;Olmomir;8;I have to renew my permit.;1502362946.978529;1502362946U0CN3AKDL
38;Olmomir;1;Therefore today I will leave at 17.;1502362946.978529;1502362946U0CN3AKDL
39;Celtheon;1;Sorry I missed the bus I'll be 15min late.;1502346832.8218858;1502346832U1RLS54MB
40;Vaerys;3;In HO running a fever so availability might be limited;1502344638.386587;1502344638U0PLNK7EK
41;Torerne;6;I am at amag again tomorrow morning.;1502293792.1948311;1502293792U035FRZHY
42;Myke;3;HO for me too last repair work hopefully) in my bathroom;1502287131.894058;1502287131U0MGNKETU
43;Darnor;2;I have a day off tomorrow.;1502287036.83566;1502287036U1D7Q9J8M
43;Darnor;8;Might be here in the afternoon.;1502287036.83566;1502287036U1D7Q9J8M
44;Vaerys;3;Going to remain at HO tomorrow;1502286846.721917;1502286846U0PLNK7EK
44;Vaerys;5;feeling feverish;1502286846.721917;1502286846U0PLNK7EK
45;Baegar;3;I will be in HO tomorrow morning work on an offer for Holcim Tracking.;1502280283.767894;1502280283U035J4RG4
45;Baegar;6;In the afternoon I will be at BANK-now in Horgen.;1502280283.767894;1502280283U035J4RG4
46;Kenning;3;I will do HO tomorrow morning because I will get a visit from an exterminator at my flat.;1502276642.678717;1502276642U4CM3PGSH
47;Vaerys;3;As announced I am in HO today;1502259131.2861538;1502259131U0PLNK7EK
47;Vaerys;5;also feeling a bit under the weather;1502259131.2861538;1502259131U0PLNK7EK
47;Vaerys;8;hopefully it improves by the evening);1502259131.2861538;1502259131U0PLNK7EK
48;Joragni;2;As scheduled;1502258334.135314;1502258334U0K4J0613
48;Joragni;2;I'm taking the day off today.;1502258334.135314;1502258334U0K4J0613
