;ts;user;text;class;key
0;1503303350.000377;Balaemar;I have to pick up my car from the garage tomorrow. I have to leave at 15:45 on Thursday.;1;1503303350U035FRUCY
1;1503301710.000155;Ragaenys;I won’t be here tomorrow, one day vacation;2;1503301710U4A2FRAQ4
2;1503296123.000159;Myke;Missed connection in Zurich. Will be about 5-10 mins late in the office, so will miss the weekly today.;1;1503296123U0MGNKETU
3;1503259722.000076;Drevyn;Enjoy!;8;1503259722U035B8PRU
4;1503258060.000057;Gaelralis;I am away for 2 weeks in iceland :flag-is:;2;1503258060U0HLAK1T6
5;1503222795.000008;Gonaleos;Monday is the first day in school for my son and I am going to go there with him, so I will arrive a few hours later probably;1;1503222795U3W886EF4
6;1503063218.0004961;Vaerys;Going to leave around 4:50 because I need to go to the bank (will finishing remaining work from home);1;1503063218U0PLNK7EK
7;1503059074.000107;Taengaeron;I am away between 3-4 for private stuff, be back online at 4.;1;1503059074U4C55CKGX
8;1503057526.0001981;Baegar;I will move to HO. I will be in 2 different Telcos and  i will therefore not be available by phone -- but by slack and e-mail all the time.;3;1503057526U035J4RG4
9;1503056595.000326;Eliar;Need to leave around 16:45. Will be available afterwards.;1;1503056595U0A8NPHRD
10;1503056439.000337;Gaelralis;I am away to take care of 2-3 private things, will be back later :wink:;1;1503056439U0HLAK1T6
11;1503040427.000006;Overton;I will do a longer lunch because I need to head to the bank and take care of some stuff.;1;1503040427U0PSDKXHR
12;1502970462.00032;Baegar;I'm at HO and I will be in the office at about 16:00.;3;1502970462U035J4RG4
13;1502964612.000145;Tareneos;FYI, i'm at a conference today and tomorrow (Friday) will be limited availability over slack/email;6;1502964612U4C4ZJYNS
14;1502952618.00025;Myke;Missed train, will be in the office around 9.40.;1;1502952618U0MGNKETU
15;1502866512.00027;Maehagar;Missed my train, will be in the office at 9.20;1;1502866512U278DLL2D
16;1502865672.000084;Galeris;I will miss the daily tomorrow (Thursday) as I have a doctors appointment at 8:45 - should be back by 9:15;4;1502865672U036SKV77
17;1502864752.000103;Celtheon;I have to go out today from 13:45 for an hour to go to the MigrationFishert.;1;1502864752U1RLS54MB
18;1502864059.00003;Kenning;As announced yesterday I am at ACME today until at least 13:00;6;1502864059U4CM3PGSH
19;1502863719.0000892;Vaerys;As announced yesterday, I am working from home (not king :wink:);3;1502863719U0PLNK7EK
20;1502859946.000073;Joragni;As scheduled, I'm taking the day off today. See you all again on Thursday.;2;1502859946U0K4J0613
21;1502815159.0003786;Ragaenys;This friday I will be receiving the key for the new appartment at 14. Will be back to the office after it. <@U035FRZHY>, we have the Maryland meeting till 13.30, will leave after it. ;1;1502815159U4A2FRAQ4
22;1502810858.00023;Torerne;I am at ACME tomorrow morning, too;6;1502810858U035FRZHY
23;1502810826.000015;Myke;Tomorrow i will do HO because the worker will come by to remove the drier in my bathroom. So i need to be there.;3;1502810826U0MGNKETU
24;1502810777.000495;Kenning;I will be at ACME tomorrow morning.;6;1502810777U4CM3PGSH
25;1502809044.000304;Vaerys;Would work from home tomorrow, will concentrate on GTM (that was an interesting typo);3;1502809044U0PLNK7EK
26;1502779919.0000858;Myke;My alarm didn't go off today, Ill be later this morning around 11. Be available on the train.;1;1502779919U0MGNKETU
27;1502713906.1239526;Tareneos;i go for a late lunch then back online in an hour, c.a 15:30 (but not in the office);1;1502713906U4C4ZJYNS
28;1502709596.914999;Darnor;Im at MoonInc tomorrow morning.;6;1502709596U1D7Q9J8M
29;1502709497.8903902;Eliar;I'm in HO tomorrow due to a doctor's appointment at 11am.;4;1502709497U0A8NPHRD
30;1502702727.016556;Overton;I will have to leave at 16:45 today because of a doctors appointment at 17:00. I will finish up some work later in the evening.;4;1502702727U0PSDKXHR
31;1502702422.921431;Gaelralis;get well soon! :slightly_smiling_face:;8;1502702422U0HLAK1T6
32;1502699900.1287858;Taengaeron;I am ill today, will try to be in the office tomorrow again.;5;1502699900U4C55CKGX
33;1502692393.2609134;Tareneos;Arriving late this morning, one of the grandparents has an eye infection so need to watch the kids this morning, but will try to make the planned 11.30 meeting;1;1502692393U4C4ZJYNS
34;1502676107.093277;Myke;I'll be coming a bit late in the office today, around noon. Been working on testing the GTM until 3am.;1;1502676107U0MGNKETU
35;1502450868.1559038;Eliar;I'm in HO this afternoon (due to Physiotherapy).;3;1502450868U0A8NPHRD
36;1502433302.333123;Gonaleos;I missed my bus, I will be in the office 15 mins later;1;1502433302U3W886EF4
37;1502428115.5783286;Vaerys;I forgot to mention this yesterday, but as discussed with Jaine I am in HO today, still have fever ;3;1502428115U0PLNK7EK
38;1502362946.978529;Olmomir;I have to renew my permit. Therefore today I will leave at 17.;1;1502362946U0CN3AKDL
39;1502346832.8218858;Celtheon;Sorry, I missed the bus I'll be 15min late.;1;1502346832U1RLS54MB
40;1502344638.386587;Vaerys;In HO, running a fever so availability might be limited;3;1502344638U0PLNK7EK
41;1502293792.1948311;Torerne;I am at Shopishop again tomorrow morning.;6;1502293792U035FRZHY
42;1502287131.894058;Myke;HO for me too, last repair work (hopefully) in my bathroom;3;1502287131U0MGNKETU
43;1502287036.83566;Darnor;I have a day off tomorrow. Might be here in the afternoon.;2;1502287036U1D7Q9J8M
44;1502286846.721917;Vaerys;Going to remain at HO tomorrow, feeling feverish;5;1502286846U0PLNK7EK
45;1502280283.767894;Baegar;I will be in HO tomorrow morning and work on an offer for ACME Tracking. In the afternoon I will be at ACME in Horgen.;3;1502280283U035J4RG4
46;1502276642.678717;Kenning;I will do HO tomorrow morning because I will get a visit from an exterminator at my flat.;3;1502276642U4CM3PGSH
47;1502259131.2861538;Vaerys;As announced, I am in HO today (also feeling a bit under the weather, hopefully it improves by the evening);3;1502259131U0PLNK7EK
48;1502258334.135314;Joragni;As scheduled, I'm taking the day off today. See you all again on Thursday.;2;1502258334U0K4J0613
49;1502257631.016404;Celtheon;I'll arrive around 10 today, I have to make my driving license replaced to a swiss one.;1;1502257631U1RLS54MB
50;1502207314.1155882;Darnor;Will be at MoonInc in the morning. ;6;1502207314U1D7Q9J8M
51;1502206128.3479118;Furrow;I’ll do HO tomorrow;3;1502206128U3V31A9M0
52;1502205779.122267;Ryswell;On vacation now :slightly_smiling_face: and back in the office on August 30th;2;1502205779U2777Q7E3
53;1502171052.819909;Eliar;I am at a meeting in Zurich this afternoon (with <@U035G74QE>).;6;1502171052U0A8NPHRD
54;1502170895.7938929;Torerne;I am at a meeting in Schinznach this afternoon;6;1502170895U035FRZHY
55;1502090283.801859;Ragaenys;Tomorrow I will leave around 11.30 and will be back after lunch for a pregnancy medical consultation;4;1502090283U4A2FRAQ4
56;1502090251.793549;Myke;I'll at HO tomorrow and Thursday. On Thursday I need to be home for bathroom water leaking last finishing work.;3;1502090251U0MGNKETU
57;1502090095.752046;Vaerys;On Wednesday, I will be in HO too;3;1502090095U0PLNK7EK
58;1502089135.516404;Baegar;On Wednesday I will be in HO.;3;1502089135U035J4RG4
59;1502087879.2469301;Gonaleos;I missed my bus because the route is changed temporarily, so I will arrive 15 mins later;1;1502087879U3W886EF4
60;1502084931.719275;Maehagar;Doing home office today, as I have to wait for an anticipated delivery ;3;1502084931U278DLL2D
61;1501853886.9553368;Olmomir;"I will be off Monday (07) &amp; Tuesday (08) :back_away:";2;1501853886U0CN3AKDL
62;1501845796.047994;Tareneos;I'm not 100% online today, got a bad headache that started just before lunch, finding it hard to focus;5;1501845796U4C4ZJYNS
63;1501831134.4489849;Taengaeron;Also doing home office today;3;1501831134U4C55CKGX
64;1501784080.245184;Galeris;I have a day off tomorrow so i'll be at the 4 - :evergreen_tree: - :cityscape: - :ocean:  enjoying some :beers:  :smile:;2;1501784080U036SKV77
65;1501772865.499737;Furrow;Tomorrow I’ll be in HO too;3;1501772865U3V31A9M0
66;1501772857.4945474;Myke;Tomorrow I'll be in HO too;3;1501772857U0MGNKETU
67;1501771348.486515;Overton;Will have to leave a bit earlier tomorrow (at around 16:30).;1;1501771348U0PSDKXHR
68;1501761873.646661;Darnor;Tomorrow I'll be in HO;3;1501761873U1D7Q9J8M
69;1501741495.166262;U0MGNKETU1;Be about 40m late. Missed my train this morning.;1;1501741495U0MGNKETU1
70;1501686676.737542;Darnor;Will be at MoonInc tomorrow morning;6;1501686676U1D7Q9J8M
71;1501671840.580493;Gaelralis;I will be on my way to the country side this afternoon and work thursday and friday HO. sorry for the late notice.;3;1501671840U0HLAK1T6
72;1501666135.704991;Vaerys;I have to leave at 17:15 so that I can go and collect a parcel from the post office;1;1501666135U0PLNK7EK
73;1501655393.268282;Furrow;Missed train connection… I will be at the office at around 09.10. Working and online now.;1;1501655393U3V31A9M0
74;1501654705.1246474;Eliar;As announced last Monday, I am off today :v:;2;1501654705U0A8NPHRD
75;1501654524.089001;Maehagar;Will be a little bit late for the daily, - ZVV managed to cancel all of my trains and to delay the next one :angry: ;1;1501654524U278DLL2D
76;1501516524.175385;Myke;I'll be at HO on Wednesday. Second inspection on the drier in my bathroom, so I need to be home ;3;1501516524U0MGNKETU
77;1501489604.5742118;Eliar;I am off on Wednesday.;2;1501489604U0A8NPHRD
78;1501489349.484261;Taengaeron;I am off on Monday, and Wednesday!;2;1501489349U4C55CKGX
79;1501475682.515255;Torerne;I will only be in the Office in the early Morning / after that I will take the Day Off, too. ;3;1501475682U035FRZHY
80;1501447958.414088;Bernareon;yeah, me too :slightly_smiling_face:;8;1501447958U035G74QE
81;1501447911.410573;Olmomir;I will be off tomorrow (Monday). ;2;1501447911U0CN3AKDL
82;1501447755.399083;Darnor;Will have a day off on Monday. ;2;1501447755U1D7Q9J8M
83;1501218223.155307;Balaemar;I will leaving at 3 today.;1;1501218223U035FRUCY
84;1501167194.777214;Vaerys;I will be in HO tomorrow, need to take care of some stuff at the Kreisburo;3;1501167194U0PLNK7EK
85;1501136303.099034;Taengaeron;I will be in de office around 10 this morning;1;1501136303U4C55CKGX
86;1501135903.023967;Maehagar;Will be at the office a tiny bit later today, since I missed my train;1;1501135903U278DLL2D
