;user;username;text;ts;key
0;Balaemar;Balaemar;I have to pick up my car from the garage tomorrow. I have to leave at 15:45 on Thursday.;1503303350.000377;1503303350U035FRUCY
1;Ragaenys;Ragaenys;I won’t be here tomorrow, one day vacation;1503301710.000155;1503301710U4A2FRAQ4
2;Myke;Myke;Missed connection in Zurich. Will be about 5-10 mins late in the office, so will miss the weekly today.;1503296123.000159;1503296123U0MGNKETU
3;Drevyn;Drevyn;Enjoy!;1503259722.000076;1503259722U035B8PRU
4;Gaelralis;Gaelralis;I am away for 2 weeks in iceland :flag-is:;1503258060.000057;1503258060U0HLAK1T6
5;Gonaleos;Gonaleos;Monday is the first day in school for my son and I am going to go there with him, so I will arrive a few hours later probably;1503222795.000008;1503222795U3W886EF4
6;Vaerys;Vaerys;Going to leave around 4:50 because I need to go to the bank (will finishing remaining work from home);1503063218.0004961;1503063218U0PLNK7EK
7;Taengaeron;Taengaeron;I am away between 3-4 for private stuff, be back online at 4.;1503059074.000107;1503059074U4C55CKGX
8;Baegar;Baegar;I will move to HO. I will be in 2 different Telcos and  i will therefore not be available by phone -- but by slack and e-mail all the time.;1503057526.0001981;1503057526U035J4RG4
9;Eliar;Eliar;Need to leave around 16:45. Will be available afterwards.;1503056595.000326;1503056595U0A8NPHRD
10;Gaelralis;Gaelralis;I am away to take care of 2-3 private things, will be back later :wink:;1503056439.000337;1503056439U0HLAK1T6
11;Overton;Overton;I will do a longer lunch because I need to head to the bank and take care of some stuff.;1503040427.000006;1503040427U0PSDKXHR
12;Baegar;Baegar;I'm at HO and I will be in the office at about 16:00.;1502970462.00032;1502970462U035J4RG4
13;Tareneos;Tareneos;FYI, i'm at a conference today and tomorrow (Friday) will be limited availability over slack/email;1502964612.000145;1502964612U4C4ZJYNS
14;Myke;Myke;Missed train, will be in the office around 9.40.;1502952618.00025;1502952618U0MGNKETU
15;Maehagar;Maehagar;Missed my train, will be in the office at 9.20;1502866512.00027;1502866512U278DLL2D
16;Galeris;Galeris;I will miss the daily tomorrow (Thursday) as I have a doctors appointment at 8:45 - should be back by 9:15;1502865672.000084;1502865672U036SKV77
17;Celtheon;Celtheon;I have to go out today from 13:45 for an hour to go to the MigrationFishert.;1502864752.000103;1502864752U1RLS54MB
18;Kenning;Kenning;As announced yesterday I am at ACME today until at least 13:00;1502864059.00003;1502864059U4CM3PGSH
19;Vaerys;Vaerys;As announced yesterday, I am working from home (not king :wink:);1502863719.0000892;1502863719U0PLNK7EK
20;Joragni;Joragni;As scheduled, I'm taking the day off today. See you all again on Thursday.;1502859946.000073;1502859946U0K4J0613
21;Ragaenys;Ragaenys;This friday I will be receiving the key for the new appartment at 14. Will be back to the office after it. <@U035FRZHY>, we have the Maryland meeting till 13.30, will leave after it. ;1502815159.0003786;1502815159U4A2FRAQ4
